ID_DO_PRODUTO,PRODUTO_DE_CONEXAO,NPS,ID_EJ,EJ,FEDERACAO,PARTICIPANTES,CLUSTER,ECM META,ECM ATUAL,MEMBROS TOTAL,MEMBROS ECM,GAP MEMBROS
959,Lidera 26,8,2029,Emad Jr,FEJERS,7,1,"0,75","0,58",26,15,5
959,Lidera 26,8,2284,CultivaSul Jr,FEJERS,4,1,"0,51","0,51",23,12,0
959,Lidera 26,8,2598,Legacy PUCRS Empresa Júnior ,FEJERS,5,1,"0,75","0,80",25,20,0
959,Lidera 26,8,3258,RELAB Jr. Consultoria,FEJERS,5,1,"0,50","0,62",26,16,0
959,Lidera 26,8,3275,Nuvem Jr.,FEJERS,7,3,"0,75","0,77",30,23,0
959,Lidera 26,8,3454,Crop Jr.,FEJERS,1,1,"0,68","0,25",4,1,2
999,GRUPEIRA 26,,68,Esfera Jr. - Arquitetura e Engenharia Civil,FEJERS,11,5,"0,75","0,49",45,22,12
999,GRUPEIRA 26,,98,PS Júnior,FEJERS,15,5,"0,75","0,71",38,27,2
999,GRUPEIRA 26,,99,Equilíbrio Assessoria Econômica,FEJERS,10,3,"0,75","0,50",38,19,10
999,GRUPEIRA 26,,107,CEANUT,FEJERS,5,4,"0,73","0,82",27,22,0
999,GRUPEIRA 26,,112,CompAct Jr,FEJERS,5,3,"0,66","0,42",26,11,7
999,GRUPEIRA 26,,115,Objetiva Jr,FEJERS,5,3,"0,75","0,95",21,20,0
999,GRUPEIRA 26,,123,Base Júnior - Arquitetura e Engenharia Civil,FEJERS,25,4,"0,75","1,00",32,32,0
999,GRUPEIRA 26,,124,Visão Júnior,FEJERS,1,1,"0,50","0,50",12,6,0
999,GRUPEIRA 26,,135,Caduceu Júnior,FEJERS,32,5,"0,75","0,90",40,36,0
999,GRUPEIRA 26,,188,ITEP Jr,FEJERS,16,5,"0,75","0,77",30,23,0
999,GRUPEIRA 26,,407,TechVet Júnior,FEJERS,3,1,"0,75","0,60",10,6,2
999,GRUPEIRA 26,,408,Mandala Soluções em Engenharia Ambiental,FEJERS,17,2,"0,55","0,88",24,21,0
999,GRUPEIRA 26,,571,CATALISA - Soluções em Engenharia Química,FEJERS,10,3,"0,53","0,53",44,23,1
999,GRUPEIRA 26,,596,Renova Jr.,FEJERS,6,3,"0,69","0,15",47,7,26
999,GRUPEIRA 26,,604,Faísca Design Júnior,FEJERS,7,1,"0,50","0,19",58,11,18
999,GRUPEIRA 26,,722,"EME JR. | Soluções em Engenharia de Materiais, Metalurgia & Minas",FEJERS,9,2,"0,71","0,38",32,12,11
999,GRUPEIRA 26,,749,Enfitec Júnior,FEJERS,14,2,"0,54","0,67",27,18,0
999,GRUPEIRA 26,,808,RENOVE JR.,FEJERS,8,2,"0,61","0,61",21,13,0
999,GRUPEIRA 26,,892,Floresta Jr - Consultoria e Planejamento Ambiental e Florestal,FEJERS,2,1,"0,50","0,27",11,3,3
999,GRUPEIRA 26,,1174,Atena Consultoria Jr.,FEJERS,2,1,"0,51","0,18",11,2,4
999,GRUPEIRA 26,,1234,Motora Jr.,FEJERS,13,1,"0,68","0,59",27,16,3
999,GRUPEIRA 26,,1244,F5 Junior - Consultoria Internacional,FEJERS,24,3,"0,75","0,75",39,29,1
999,GRUPEIRA 26,,1397,ECAPE - EMPRESA JÚNIOR DE CONSULTORIA AGROPECUÁRIA E PLANEJAMENTO ESTRATÉGICO,FEJERS,2,1,"0,50","0,15",13,2,5
999,GRUPEIRA 26,,1534,Opus Consultoria Júnior,FEJERS,2,1,"0,50","0,33",6,2,1
999,GRUPEIRA 26,,1694,Atlântica Consultoria Internacional,FEJERS,7,1,"0,50","0,29",28,8,6
999,GRUPEIRA 26,,2029,Emad Jr,FEJERS,5,1,"0,75","0,58",26,15,5
999,GRUPEIRA 26,,2284,CultivaSul Jr,FEJERS,2,1,"0,51","0,51",23,12,0
999,GRUPEIRA 26,,2549,Equaliza Engenharia ,FEJERS,8,1,"0,50","0,67",12,8,0
999,GRUPEIRA 26,,2598,Legacy PUCRS Empresa Júnior ,FEJERS,15,1,"0,75","0,80",25,20,0
999,GRUPEIRA 26,,3000,AGR Jr. Consultoria Agronômica ,FEJERS,3,2,"0,56","0,86",22,19,0
999,GRUPEIRA 26,,3076,Irradiation,FEJERS,2,1,"0,50","0,33",9,3,2
999,GRUPEIRA 26,,3258,RELAB Jr. Consultoria,FEJERS,4,1,"0,50","0,62",26,16,0
999,GRUPEIRA 26,,3275,Nuvem Jr.,FEJERS,14,3,"0,75","0,77",30,23,0
999,GRUPEIRA 26,,3339,Rumivet Jr. Consultoria Veterinária,FEJERS,5,1,"0,51","0,31",13,4,3
999,GRUPEIRA 26,,3604,Hut8,FEJERS,9,0,"0,50","0,72",25,18,0
1013,EGEJ 26,,68,Esfera Jr. - Arquitetura e Engenharia Civil,FEJERS,20,5,"0,75","0,49",45,22,12
1013,EGEJ 26,,98,PS Júnior,FEJERS,25,5,"0,75","0,71",38,27,2
1013,EGEJ 26,,99,Equilíbrio Assessoria Econômica,FEJERS,18,3,"0,75","0,50",38,19,10
1013,EGEJ 26,,102,EPR Consultoria,FEJERS,21,5,"0,69","0,63",43,27,3
1013,EGEJ 26,,103,UCS JR. Consultoria,FEJERS,1,1,"0,50","0,07",15,1,7
1013,EGEJ 26,,107,CEANUT,FEJERS,22,4,"0,73","0,82",27,22,0
1013,EGEJ 26,,112,CompAct Jr,FEJERS,11,3,"0,66","0,42",26,11,7
1013,EGEJ 26,,115,Objetiva Jr,FEJERS,16,3,"0,75","0,95",21,20,0
1013,EGEJ 26,,123,Base Júnior - Arquitetura e Engenharia Civil,FEJERS,20,4,"0,75","1,00",32,32,0
1013,EGEJ 26,,124,Visão Júnior,FEJERS,6,1,"0,50","0,50",12,6,0
1013,EGEJ 26,,135,Caduceu Júnior,FEJERS,35,5,"0,75","0,90",40,36,0
1013,EGEJ 26,,188,ITEP Jr,FEJERS,20,5,"0,75","0,77",30,23,0
1013,EGEJ 26,,407,TechVet Júnior,FEJERS,2,1,"0,75","0,60",10,6,2
1013,EGEJ 26,,408,Mandala Soluções em Engenharia Ambiental,FEJERS,21,2,"0,55","0,88",24,21,0
1013,EGEJ 26,,463,Empresa Júnior IDE,FEJERS,17,1,"0,50","0,33",52,17,9
1013,EGEJ 26,,570,Eali Consultoria Junior em Engenharia de Alimentos,FEJERS,4,1,"0,50","0,18",22,4,7
1013,EGEJ 26,,571,CATALISA - Soluções em Engenharia Química,FEJERS,23,3,"0,53","0,53",44,23,1
